ID,Recommendation #,Title of Recommendation,CIS Sub-Control,NIST Control Identifier,NIST Title
,D.5.15,Ensure that the host's process namespace is not shared,3.12,,Segment Data Processing and Storage Based on Sensitivity
,D.5.16,Ensure that the host's IPC namespace is not shared,3.12,,Segment Data Processing and Storage Based on Sensitivity
,D.5.17,Ensure that host devices are not directly exposed to containers,5.4,"AC-6(2),AC-6(5)",Restrict Administrator Privileges to Dedicated Administrator Accounts
,D.5.18,Ensure that the default ulimit is overwritten at runtime if needed,3.12,,Segment Data Processing and Storage Based on Sensitivity
,D.5.19,Ensure mount propagation mode is not set to shared,3,,
,D.5.20,Ensure that the host's UTS namespace is not shared,13.4,"CA-9,SC-7",Perform Traffic Filtering Between Network Segments
,D.5.21,Ensure the default seccomp profile is not Disabled,16,,
,D.5.22,Ensure that  docker exec commands are not used with the privileged option,4.1,"CM-1,CM-2,CM-6,CM-7,CM-7(1),CM-9,SA-3,SA-8,SA-10",Establish and Maintain a Secure Configuration Process
,D.5.23,Ensure that docker exec commands are not used with the user=root option,4.1,"CM-1,CM-2,CM-6,CM-7,CM-7(1),CM-9,SA-3,SA-8,SA-10",Establish and Maintain a Secure Configuration Process
,D.5.24,Ensure that cgroup usage is confirmed,3.3,"AC-3,AC-5,AC-6,MP-2",Configure Data Access Control Lists
,D.5.25,Ensure that  the container is restricted from acquiring additional privileges,5.4,"AC-6(2),AC-6(5)",Restrict Administrator Privileges to Dedicated Administrator Accounts
,D.5.26,Ensure that container health is checked at runtime,10.5,SI-16,Enable Anti-Exploitation Features
,D.5.27,Ensure that Docker commands always make use of the latest version of their image,16,,
,D.5.28,Ensure that the PIDs cgroup limit is used,4,,
,D.5.29,"Ensure that Docker's default bridge ""docker0"" is not used",4.8,"CM-6,CM-7",Uninstall or Disable Unnecessary Services on Enterprise Assets and Software
,D.5.30,Ensure that the host's user namespaces are not shared,3.12,,Segment Data Processing and Storage Based on Sensitivity
,D.5.31,Ensure that the Docker socket is not mounted inside any containers,5.4,"AC-6(2),AC-6(5)",Restrict Administrator Privileges to Dedicated Administrator Accounts
,D.6.1,Ensure that image sprawl is avoided,16.1,"SA-3,SA-15",Establish and Maintain a Secure Application Development Process
,D.6.2,Ensure that container sprawl is avoided,3.12,,Segment Data Processing and Storage Based on Sensitivity
,D.7.1,"Ensure swarm mode is not Enabled, if not needed",4.8,"CM-6,CM-7",Uninstall or Disable Unnecessary Services on Enterprise Assets and Software
,D.7.2,Ensure that the minimum number of manager nodes have been created in a swarm,4,,
,D.7.3,Ensure that swarm services are bound to a specific host interface,4.4,"CA-9,SC-7,SC7-(5)",Implement and Manage a Firewall on Servers
,D.7.4,Ensure that all Docker swarm overlay networks are encrypted,3.1,"AU-11,CM-12,SI-12",Establish and Maintain a Data Management Process
,D.7.5,Ensure that Docker's secret management commands are used for managing secrets in a swarm cluster,4,,
,D.7.6,Ensure that swarm manager is run in auto-lock mode,3.11,"IA-5(1),SC-28,SC-28(1)",Encrypt Sensitive Data at Rest
,D.7.7,Ensure that the swarm manager auto-lock key is rotated periodically,5.2,IA-5(1),Use Unique Passwords
,D.7.8,Ensure that node certificates are rotated as appropriate,5.2,IA-5(1),Use Unique Passwords
,D.7.9,Ensure that CA certificates are rotated as appropriate,5.2,IA-5(1),Use Unique Passwords
,D.7.10,Ensure that management plane traffic is separated from data plane traffic,13.4,"CA-9,SC-7",Perform Traffic Filtering Between Network Segments
,K.1.1.1,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.2,,,"AC-6(2), AC-6(5)",
,K.1.1.3,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.4,,,"AC-6(2), AC-6(5)",
,K.1.1.5,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.6,,,"AC-6(2), AC-6(5)",
,K.1.1.7,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.8,,,"AC-6(2), AC-6(5)",
,K.1.1.9,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.10,,,"AC-6(2), AC-6(5)",
,K.1.1.11,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.12,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.13,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.14,,,"AC-6(2), AC-6(5)",
,K.1.1.15,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.16,,,"AC-6(2), AC-6(5)",
,K.1.1.17,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.18,,,"AC-6(2), AC-6(5)",
,K.1.1.19,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.1.20,,,"AC-6(2), AC-6(5)",
,K.1.1.21,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.1,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.2,,,MA-4,
,K.1.2.3,,,MA-4,
,K.1.2.4,,,SA-15,
,K.1.2.5,,,SA-15,
,K.1.2.6,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.7,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.8,,,"AC-2, AC-5, AC-6, AC-6(1), AC-6(7), AU-9(4)",
,K.1.2.9,,,SA-15,
,K.1.2.10,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.11,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.12,,,SA-15,
,K.1.2.13,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.14,,,,
,K.1.2.15,,,,
,K.1.2.16,,,,
,K.1.2.17,,,,
,K.1.2.18,,,"AU-2, AU-7, AU-12",
,K.1.2.19,,,AU-4,
,K.1.2.20,,,AU-4,
,K.1.2.21,,,AU-4,
,K.1.2.22,,,,
,K.1.2.23,,,"AC-3, AC-5, AC-6, MP-2",
,K.1.2.24,,,IA-5(1),
,K.1.2.25,,,"IA-5(1), SC-28, SC-28(1)",
,K.1.2.26,,,,
,K.1.2.27,,,,
,K.1.2.28,,,"IA-5(1), SC-28, SC-28(1)",
,K.1.2.29,,,"IA-5(1), SC-28, SC-28(1)",
,K.1.2.30,,,"IA-5(1), SC-28, SC-28(1)",
,K.1.2.31,,,"CM-6, CM-7",
,K.1.3.1,,,SI-16,
,K.1.3.2,,,"CM-6, CM-7",
,K.1.3.3,,,"IA-5(1), AC-2, AC-5, AC-6, AC-6(1), AC-6(7), AU-9(4)",
,K.1.3.4,,,IA-5(1),
,K.1.3.5,,,,
,K.1.3.6,,,,
,K.1.3.7,,,"AC-18, SC-23",
,K.1.4.1,,,"CM-6, CM-7",
,K.1.4.2,,,"AC-18, SC-23",
,K.2.1,,,"IA-5(1), SC-28, SC-28(1)",
,K.2.2,,,"IA-5(1), SC-28, SC-28(1)",
,K.2.3,,,"IA-5(1), SC-28, SC-28(1)",
,K.2.4,,,"IA-5(1), SC-28, SC-28(1)",
,K.2.5,,,"AC-3, AC-5, AC-6, MP-2",
,K.2.6,,,IA-5(1),
,K.2.7,,,"IA-4, IA-5, AC-1, AC-2, AC-2(1), AC-1, AC-2, AC-2(1)",
,K.3.1.1,,,"AC-1, AC-2, AC-2(1)",
,K.3.2.1,,,"AU-2, AU-7, AU-12",
,K.3.2.2,,,"AU-3, AU-3(1), AU-7, AU-12",
,K.4.1.1,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.1.2,,,"AC-6(2), AC-6(5)",
,K.4.1.3,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.1.4,,,"AC-6(2), AC-6(5)",
,K.4.1.5,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.1.6,,,"AC-6(2), AC-6(5)",
,K.4.1.7,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.1.8,,,"AC-6(2), AC-6(5)",
,K.4.1.9,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.1.10,,,"AC-6(2), AC-6(5)",
,K.4.2.1,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.2.2,,,"AC-3, AC-5, AC-6, MP-2",
,K.4.2.3,,,,
,K.4.2.4,,,"CM-6, CM-7",
,K.4.2.5,,,SI-16,
,K.4.2.6,,,"CM-6, CM-7",
,K.4.2.7,,,"CM-7(5), CM-10",
,K.4.2.8,,,,
,K.4.2.9,,,"AU-2, AU-7, AU-12",
,K.4.2.10,,,,
,K.4.2.11,,,,
,K.4.2.12,,,,
,K.4.2.13,,,"CM-6, CM-7",
,K.5.1.1,,,"AC-2, AC-5, AC-6, AC-6(1), AC-6(7), AU-9(4)",
,K.5.1.2,,,,
,K.5.1.3,,,"AC-2, AC-5, AC-6, AC-6(1), AC-6(7), AU-9(4)",
,K.5.1.4,,,"AC-2, AC-5, AC-6, AC-6(1), AC-6(7), AU-9(4)",
,K.5.1.5,,,AC-2(3),
,K.5.1.6,,,,
,K.5.1.7,,,"AC-6(2), AC-6(5)",
,K.5.1.8,,,"AC-6(2), AC-6(5)",
,K.5.2.1,,,,
,K.5.2.2,,,"AC-6(2), AC-6(5)",
,K.5.2.3,,,,
,K.5.2.4,,,,
,K.5.2.5,,,,
,K.5.2.6,,,"AC-6(2), AC-6(5)",
,K.5.2.7,,,"AC-6(2), AC-6(5)",
,K.5.2.8,,,"CM-6, CM-7",
,K.5.2.9,,,"CM-6, CM-7",
,K.5.2.10,,,"CM-6, CM-7",
,K.5.2.11,,,,
,K.5.2.12,,,,
,K.5.2.13,,,,
,K.5.3.1,,,"CA-9, SC-7, SC-7(5)",
,K.5.3.2,,,"CA-9, SC-7, SC-7(5)",
,K.5.4.1,,,,
,K.5.4.2,,,,
,K.5.5.1,,,"CM-6, CM-7",
,K.5.7.1,,,,
,K.5.7.2,,,"CM-6, CM-7",
,K.5.7.3,,,,
,K.5.7.4,,,"PL-8, PM-7, SA-8, CM-7, CP-6, CP-7, SC-7",
